vin,timestamp,latitude,longitude,hour,day_of_week,dist_m,truck_type_code
TRUCK_001,1/1/2024 8:00,39.7522008,-104.9034117,8,0,0,2
TRUCK_001,1/1/2024 8:00,39.75375055,-104.9046378,8,0,0.001976095,2
TRUCK_001,1/1/2024 8:00,39.75625189,-104.9046157,8,0,0.002501432,2
TRUCK_001,1/1/2024 8:01,39.75840916,-104.905054,8,0,0.002201332,2
TRUCK_001,1/1/2024 8:01,39.76036189,-104.9057759,8,0,0.002081925,2
TRUCK_001,1/1/2024 8:01,39.76286324,-104.9058,8,0,0.002501465,2
TRUCK_001,1/1/2024 8:02,39.76536464,-104.9058135,8,0,0.002501437,2
TRUCK_001,1/1/2024 8:02,39.76786605,-104.9058229,8,0,0.002501433,2
TRUCK_001,1/1/2024 8:02,39.76974165,-104.9066331,8,0,0.002043083,2
TRUCK_001,1/1/2024 8:03,39.77224307,-104.9066378,8,0,0.002501423,2
TRUCK_001,1/1/2024 8:03,39.77273096,-104.909752,8,0,0.003152192,2
TRUCK_001,1/1/2024 8:03,39.7731712,-104.9129427,8,0,0.003220957,2
TRUCK_001,1/1/2024 8:04,39.77361629,-104.9161327,8,0,0.003220874,2
TRUCK_001,1/1/2024 8:04,39.7740746,-104.9193195,8,0,0.00321959,2
TRUCK_001,1/1/2024 8:04,39.77466125,-104.9223166,8,0,0.003053942,2
TRUCK_001,1/1/2024 8:05,39.7771626,-104.9223079,8,0,0.002501358,2
TRUCK_001,1/1/2024 8:05,39.7788996,-104.9232877,8,0,0.001994274,2
TRUCK_001,1/1/2024 8:05,39.77940959,-104.92646,8,0,0.003213069,2
TRUCK_001,1/1/2024 8:06,39.77992573,-104.9296323,8,0,0.003213938,2
TRUCK_001,1/1/2024 8:06,39.78013473,-104.9328621,8,0,0.003236636,2
TRUCK_001,1/1/2024 8:06,39.78033412,-104.9360938,8,0,0.003237846,2
TRUCK_001,1/1/2024 8:12,39.78052812,-104.9393261,8,0,0.003238078,2
TRUCK_001,1/1/2024 8:12,39.78069714,-104.9425602,8,0,0.00323854,2
TRUCK_001,1/1/2024 8:12,39.78084898,-104.9457939,8,0,0.003237245,2
